Variation,visit_id,confirm,start,step_1,step_2,step_3,Complete_Status
Control,108719545_42143405876_705852,0,2,1,1,0,Not completed
Control,108744633_27495992537_16982,0,1,1,1,0,Not completed
Control,108808380_94764333350_175086,0,1,1,1,1,Not completed
Control,108809747_47233632345_827356,0,1,1,1,1,Not completed
Control,108857769_19979452740_456587,0,2,1,1,1,Not completed
Control,108860642_55131911366_926344,0,2,1,1,0,Not completed
Control,108905338_14872524601_905668,0,1,1,2,2,Not completed
Control,108907799_62013523001_254981,1,1,1,1,1,Completed
Control,10893632_5786602531_586085,1,1,1,1,0,Completed
Control,108937428_94918779072_42035,0,1,1,0,1,Not completed
Control,108947270_355420661_88176,0,5,0,0,0,Not completed
Control,108957383_41514350677_193670,1,1,1,1,1,Completed
Control,109011250_15395719573_228235,1,1,1,1,0,Completed
Control,109011395_74315471043_951387,0,4,1,1,1,Not completed
Control,109085780_40828468276_54804,0,1,1,0,0,Not completed
Control,109086558_73015852974_776843,0,1,1,1,0,Not completed
Control,109126522_89302360716_797418,0,1,1,1,1,Not completed
Control,109140695_24859270597_694344,0,1,1,1,1,Not completed
Control,109154154_68812231163_309521,1,1,1,1,1,Completed
Control,109178915_88566590610_326604,1,1,1,1,1,Completed
Control,109212970_24143620681_788923,0,2,0,0,0,Not completed
Control,109254991_66090324429_451565,0,2,0,1,1,Not completed
Control,109266551_86824413138_988298,0,2,1,1,0,Not completed
Control,10926725_6074807139_104341,0,1,0,0,0,Not completed
Control,109267336_69193019766_252546,0,1,0,0,0,Not completed
Control,109270825_70428791942_253169,1,1,1,1,1,Completed
Control,109293993_38928323562_726849,0,1,0,0,0,Not completed
Control,109341543_93834603351_339892,1,1,1,1,1,Completed
Control,10934213_8358643379_64047,0,1,1,2,0,Not completed
Control,10934223_25503046714_866571,0,1,0,0,0,Not completed
Control,109348025_27992284703_535018,1,1,1,1,1,Completed
Control,109394651_29166583508_164958,0,1,0,0,0,Not completed
Control,109447651_76530485141_835727,0,3,1,1,0,Not completed
Control,109478439_46834904677_537548,0,1,1,1,1,Not completed
Control,109493483_32835460568_770553,1,1,1,1,0,Completed
Control,109559465_66925407084_586367,0,2,1,1,0,Not completed
Control,109573441_61601390265_656011,0,7,1,0,0,Not completed
Control,10964153_28792892240_920696,0,10,4,0,0,Not completed
Control,109651140_84695412616_383037,0,1,0,0,0,Not completed
Control,109679814_72589617383_442999,0,1,1,1,0,Not completed
Control,109682911_92162940125_670458,0,1,0,0,0,Not completed
Control,109687218_82550150466_786235,0,1,1,1,1,Not completed
Control,109687265_46478528055_860131,0,13,3,3,1,Not completed
Control,109764237_63896704808_785462,0,1,0,0,0,Not completed
Control,109837753_21589558825_892617,1,1,1,1,1,Completed
Control,109850778_13269643517_672459,0,1,1,1,0,Not completed
Control,109853243_54038366030_348387,1,1,1,1,1,Completed
Control,109887260_69500309963_355398,1,1,1,1,0,Completed
Control,109922323_3531132807_141846,0,2,1,0,0,Not completed
Control,109985769_23587300049_49862,1,1,1,1,1,Completed
Control,110024436_52678239326_911136,0,4,0,0,0,Not completed
Control,110028919_87375981057_54923,0,1,0,1,0,Not completed
Control,110056739_69737810110_34067,0,1,0,0,0,Not completed
Control,110071490_40007375385_998073,0,1,0,0,0,Not completed
Control,110077423_47121627403_507093,1,1,1,1,1,Completed
Control,110089868_1127883847_284205,0,1,0,0,0,Not completed
Control,11010472_15814590735_454467,0,1,1,1,1,Not completed
Control,110188436_84937351201_276106,0,2,2,2,2,Not completed
Control,110208774_59197878914_70833,0,4,1,1,0,Not completed
Control,110282786_63380697757_292711,1,1,1,1,1,Completed
Control,110307202_34636181112_192510,1,2,2,1,1,Completed
Control,110357480_44657547325_549221,1,1,1,1,0,Completed
Control,110370392_24256998198_114037,1,1,1,2,2,Completed
Control,110387300_19185723666_54285,0,1,0,0,0,Not completed
Control,110389027_36684653713_791010,0,3,2,3,2,Not completed
Control,110389785_41987072969_79530,0,1,2,3,1,Not completed
Control,11039402_67593207357_110439,1,1,1,3,3,Completed
Control,110396168_29164529346_22732,1,4,1,1,1,Completed
Control,110432027_87493421469_986527,0,1,1,1,0,Not completed
Control,110436570_49678697501_334900,0,1,0,0,0,Not completed
Control,110477187_9291835195_280023,1,1,1,1,1,Completed
Control,11049489_90808735976_373672,1,1,1,1,1,Completed
Control,110503428_41861954003_178066,1,2,2,1,0,Completed
Control,110509290_65780675794_198329,0,1,1,0,0,Not completed
Control,110529988_53459954592_574647,1,1,1,1,1,Completed
Control,11054834_9291749319_320607,0,1,1,2,2,Not completed
