client_id,duration_count,duration_mean,Class
59605,1.0,18.5,Fast Passer
59782,2.0,32.666666666666664,Slow Repeater
59802,1.0,33.375,Slow Passer
59860,4.0,19.545454545454547,Fast Repeater
60101,1.0,17.6,Fast Passer
60483,1.0,23.2,Fast Passer
60802,2.0,10.892857142857142,Fast Repeater
60958,2.0,999.0,Slow Repeater
61007,4.0,999.0,Slow Repeater
61487,1.0,28.6,Fast Passer
61650,3.0,17.714285714285715,Fast Repeater
61961,1.0,37.0,Slow Passer
62058,1.0,999.0,Slow Passer
62284,1.0,58.4,Slow Passer
62498,1.0,999.0,Slow Passer
62503,1.5,526.375,Slow Repeater
62754,1.0,40.2,Slow Passer
62791,1.0,26.8,Fast Passer
62805,1.0,17.5,Fast Passer
62837,1.0,17.5,Fast Passer
63001,1.0,4.0,Fast Passer
63377,1.0,32.0,Slow Passer
63507,1.0,46.0,Slow Passer
63796,2.0,29.285714285714285,Fast Repeater
63879,3.0,21.0,Fast Repeater
63955,1.0,28.25,Fast Passer
64020,1.0,31.4,Slow Passer
64058,1.0,28.4,Fast Passer
64871,1.0,46.5,Slow Passer
64885,1.0,7.0,Fast Passer
64964,1.0,20.125,Fast Passer
65221,1.0,31.2,Slow Passer
65716,1.0,23.22222222222222,Fast Passer
65845,1.0,17.333333333333332,Fast Passer
66160,1.0,23.833333333333332,Fast Passer
66169,1.0,15.75,Fast Passer
66539,1.0,32.6,Slow Passer
66543,2.0,999.0,Slow Repeater
66930,1.0,24.875,Fast Passer
67390,2.0,36.714285714285715,Slow Repeater
67452,2.0,39.8,Slow Repeater
67845,1.0,10.5,Fast Passer
67925,3.0,37.0,Slow Repeater
68116,1.0,999.0,Slow Passer
68170,2.0,999.0,Slow Repeater
68276,1.0,29.2,Fast Passer
68830,1.0,16.65,Fast Passer
68854,1.5,516.0,Slow Repeater
68884,3.0,30.1875,Slow Repeater
68886,1.0,23.2,Fast Passer
68963,2.5,515.5454545454545,Slow Repeater
69255,1.0,999.0,Slow Passer
69568,1.0,19.0,Fast Passer
69591,1.0,999.0,Slow Passer
69598,1.0,18.5,Fast Passer
70225,1.0,15.333333333333334,Fast Passer
70576,2.0,19.722222222222225,Fast Repeater
70863,1.0,999.0,Slow Passer
71159,2.0,999.0,Slow Repeater
71296,2.5,25.0,Fast Repeater
71476,1.0,999.0,Slow Passer
71626,2.0,24.142857142857142,Fast Repeater
72074,2.0,18.95,Fast Repeater
72221,1.5,12.227272727272727,Fast Repeater
72388,1.0,33.25,Slow Passer
